date,merchant,amount,currency,category,account,recurring
2024-12-19T07:45:00,Aroma Kava,-2.26,USD,coffee,main_debit,False
2024-12-19T15:32:00,Uber,-8.35,USD,transport,main_debit,False
2024-12-19T17:02:00,Bolt,-8.33,USD,transport,main_debit,False
2024-12-19T22:51:00,Bolt Food,-17.49,USD,delivery,main_debit,False
2024-12-20T08:51:00,Aroma Kava,-4.72,USD,coffee,main_debit,False
2024-12-20T09:10:00,Lviv Croissants,-3.5,USD,coffee,main_debit,False
2024-12-20T13:31:00,Silpo,-59.23,USD,groceries,main_debit,False
2024-12-20T17:06:00,Spotify,-17.3,USD,entertainment,credit_card,False
2024-12-20T19:09:00,Electric Bill,-34.82,USD,utilities,main_debit,False
2024-12-21T11:59:00,Glovo,-23.78,USD,delivery,main_debit,False
2024-12-22T07:14:00,Aroma Kava,-7.45,USD,coffee,main_debit,False
2024-12-22T09:41:00,Aroma Kava,-6.43,USD,coffee,main_debit,False
2024-12-22T12:59:00,H&M,-112.41,USD,shopping,main_debit,False
2024-12-22T20:17:00,Novus,-31.46,USD,groceries,main_debit,False
2024-12-22T20:35:00,Internet,-28.18,USD,utilities,main_debit,False
2024-12-23T12:39:00,Zara,-34.08,USD,shopping,main_debit,False
2024-12-24T08:34:00,Aroma Kava,-3.98,USD,coffee,main_debit,False
2024-12-24T09:27:00,Blue Bottle,-9.84,USD,coffee,main_debit,False
2024-12-24T09:34:00,Starbucks,-2.72,USD,coffee,main_debit,False
2024-12-24T13:03:00,Bolt,-9.26,USD,transport,main_debit,False
2024-12-24T15:35:00,ChatGPT Plus,-6.55,USD,subscriptions,main_debit,True
2024-12-25T08:06:00,Aroma Kava,-2.43,USD,coffee,main_debit,False
2024-12-25T09:00:00,Credit Card Payment,-810.0043020890668,USD,credit_payment,main_debit,True
2024-12-25T16:49:00,Murakami,-35.48,USD,restaurants,main_debit,False
2024-12-26T08:25:00,Starbucks,-4.79,USD,coffee,main_debit,False
2024-12-27T09:39:00,Starbucks,-2.02,USD,coffee,main_debit,False
2024-12-28T13:13:00,Electric Bill,-17.33,USD,utilities,main_debit,False
2024-12-28T15:16:00,Pharmacy,-34.84,USD,health,main_debit,False
2024-12-28T20:51:00,Electric Bill,-38.48,USD,utilities,main_debit,False
2024-12-28T21:40:00,ATB,-64.48,USD,groceries,main_debit,False
2024-12-28T21:41:00,Glovo,-21.03,USD,delivery,main_debit,False
2024-12-29T08:53:00,YouTube Premium,-21.17,USD,subscriptions,main_debit,True
2024-12-29T21:17:00,Uber Eats,-27.56,USD,delivery,main_debit,False
2024-12-30T08:05:00,Starbucks,-4.15,USD,coffee,main_debit,False
2024-12-30T09:44:00,Lviv Croissants,-2.96,USD,coffee,main_debit,False
2024-12-30T12:13:00,Uklon,-1.55,USD,transport,main_debit,False
2025-01-01T10:00:00,Employer Inc,2250.0,USD,salary,main_debit,True
2025-01-01T21:26:00,Metro Pass,-6.85,USD,transport,main_debit,False
2025-01-01T23:51:00,Bolt Food,-17.08,USD,delivery,main_debit,False
2025-01-02T09:27:00,Aroma Kava,-4.05,USD,coffee,main_debit,False
2025-01-02T16:15:00,Silpo,-46.64,USD,groceries,main_debit,False
2025-01-03T11:46:00,Spotify,-9.29,USD,entertainment,main_debit,False
2025-01-03T19:18:00,Murakami,-23.47,USD,restaurants,main_debit,False
2025-01-03T21:48:00,ATB,-22.69,USD,groceries,main_debit,False
2025-01-04T08:46:00,Starbucks,-5.29,USD,coffee,main_debit,False
2025-01-04T13:40:00,Metro Pass,-13.36,USD,transport,main_debit,False
2025-01-04T14:31:00,Netflix,-9.74,USD,subscriptions,main_debit,True
2025-01-04T17:18:00,Sportlife,-11.51,USD,subscriptions,main_debit,True
2025-01-05T11:30:00,Silpo,-46.31,USD,groceries,main_debit,False
2025-01-05T14:44:00,Murakami,-37.89,USD,restaurants,main_debit,False
2025-01-06T09:16:00,Aroma Kava,-5.67,USD,coffee,main_debit,False
2025-01-06T22:13:00,Bolt Food,-6.66,USD,delivery,main_debit,False
2025-01-07T08:42:00,Blue Bottle,-6.3,USD,coffee,main_debit,False
2025-01-07T19:30:00,Amazon,-61.56,USD,shopping,credit_card,False
2025-01-08T09:35:00,Internet,-28.21,USD,utilities,main_debit,False
2025-01-08T09:44:00,Uklon,-7.74,USD,transport,main_debit,False
2025-01-08T21:36:00,Glovo,-10.23,USD,delivery,main_debit,False
2025-01-08T23:02:00,Glovo,-12.52,USD,delivery,main_debit,False
2025-01-09T07:49:00,Starbucks,-5.89,USD,coffee,main_debit,False
2025-01-09T12:16:00,H&M,-52.57,USD,shopping,credit_card,False
2025-01-09T13:20:00,Puzata Hata,-31.29,USD,restaurants,main_debit,False
2025-01-09T22:28:00,Uber,-6.94,USD,transport,main_debit,False
2025-01-10T11:23:00,Pharmacy,-54.98,USD,health,main_debit,False
2025-01-10T21:37:00,Internet,-14.09,USD,utilities,main_debit,False
2025-01-11T16:48:00,H&M,-56.74,USD,shopping,main_debit,False
2025-01-11T21:20:00,Uber,-3.33,USD,transport,main_debit,False
2025-01-11T21:59:00,Bolt,-7.27,USD,transport,main_debit,False
2025-01-11T22:16:00,Glovo,-25.39,USD,delivery,main_debit,False
2025-01-12T08:43:00,Starbucks,-6.52,USD,coffee,main_debit,False
2025-01-12T09:58:00,Starbucks,-6.57,USD,coffee,main_debit,False
2025-01-13T09:12:00,Starbucks,-5.52,USD,coffee,main_debit,False
2025-01-13T11:09:00,Silpo,-37.56,USD,groceries,main_debit,False
2025-01-13T17:47:00,Uber Eats,-12.37,USD,delivery,main_debit,False
2025-01-14T09:32:00,Aroma Kava,-3.03,USD,coffee,main_debit,False
2025-01-15T10:00:00,Employer Inc,2250.0,USD,salary,main_debit,True
2025-01-15T10:51:00,Costco,-39.49,USD,groceries,main_debit,False
2025-01-15T14:52:00,Uklon,-9.15,USD,transport,main_debit,False
2025-01-15T14:56:00,ATB,-26.27,USD,groceries,main_debit,False
2025-01-15T22:10:00,Uber Eats,-4.33,USD,delivery,main_debit,False
2025-01-16T11:03:00,Bolt Food,-13.78,USD,delivery,main_debit,False
2025-01-16T15:16:00,Murakami,-27.3,USD,restaurants,main_debit,False
2025-01-16T15:21:00,Spotify,-13.29,USD,subscriptions,main_debit,True
2025-01-17T09:43:00,Lviv Croissants,-2.47,USD,coffee,main_debit,False
2025-01-18T13:04:00,Uklon,-7.58,USD,transport,main_debit,False
2025-01-20T08:42:00,Aroma Kava,-3.21,USD,coffee,main_debit,False
2025-01-20T09:19:00,Blue Bottle,-2.74,USD,coffee,main_debit,False
2025-01-20T17:50:00,Electric Bill,-31.18,USD,utilities,main_debit,False
2025-01-20T20:58:00,Metro Pass,-5.56,USD,transport,main_debit,False
2025-01-20T22:37:00,Uber Eats,-16.27,USD,delivery,main_debit,False
2025-01-21T11:17:00,Sushi Master,-29.8,USD,restaurants,main_debit,False
2025-01-22T07:25:00,Starbucks,-6.54,USD,coffee,main_debit,False
2025-01-22T08:20:00,Blue Bottle,-3.9,USD,coffee,main_debit,False
2025-01-22T09:18:00,Novus,-25.68,USD,groceries,main_debit,False
2025-01-22T09:57:00,Lviv Croissants,-3.32,USD,coffee,main_debit,False
2025-01-22T12:14:00,ATB,-41.08,USD,groceries,main_debit,False
2025-01-22T16:35:00,Novus,-4.88,USD,groceries,main_debit,False
2025-01-22T22:08:00,Bolt Food,-18.53,USD,delivery,main_debit,False
2025-01-23T08:35:00,Lviv Croissants,-6.07,USD,coffee,main_debit,False
2025-01-23T10:27:00,Uber,-6.83,USD,transport,main_debit,False
2025-01-23T10:40:00,Sportlife,-9.32,USD,subscriptions,main_debit,True
2025-01-23T11:04:00,Sushi Master,-5.45,USD,restaurants,main_debit,False
2025-01-23T15:41:00,Cinema City,-15.27,USD,entertainment,main_debit,False
2025-01-23T19:24:00,Costco,-30.09,USD,groceries,main_debit,False
2025-01-23T22:17:00,Spotify,-14.35,USD,entertainment,main_debit,False
2025-01-24T08:32:00,Starbucks,-6.52,USD,coffee,main_debit,False
2025-01-24T13:58:00,Glovo,-11.4,USD,delivery,main_debit,False
2025-01-24T16:21:00,Rozetka,-43.36,USD,shopping,credit_card,False
2025-01-24T16:41:00,Uklon,-8.94,USD,transport,main_debit,False
2025-01-25T10:51:00,Costco,-60.76,USD,groceries,main_debit,False
2025-01-25T15:58:00,Internet,-19.0,USD,utilities,main_debit,False
2025-01-25T17:42:00,Metro Pass,-12.56,USD,transport,main_debit,False
2025-01-26T12:14:00,Spotify,-6.97,USD,entertainment,main_debit,False
2025-01-26T20:02:00,Uklon,-7.15,USD,transport,main_debit,False
2025-01-26T22:27:00,Bolt Food,-11.1,USD,delivery,main_debit,False
2025-01-27T18:17:00,Sushi Master,-22.5,USD,restaurants,main_debit,False
2025-01-28T09:00:00,Credit Card Payment,-50,USD,credit_payment,main_debit,True
2025-01-28T18:38:00,Bolt,-8.12,USD,transport,main_debit,False
2025-01-29T20:55:00,Silpo,-32.3,USD,groceries,main_debit,False
2025-01-31T07:07:00,Starbucks,-5.37,USD,coffee,main_debit,False
2025-01-31T08:16:00,Sportlife,-9.5,USD,subscriptions,main_debit,True
2025-01-31T21:39:00,Glovo,-18.48,USD,delivery,main_debit,False
2025-02-01T09:53:00,Aroma Kava,-6.3,USD,coffee,main_debit,False
2025-02-01T10:00:00,Employer Inc,2250.0,USD,salary,main_debit,True
2025-02-02T22:27:00,Glovo,-11.27,USD,delivery,main_debit,False
2025-02-03T08:22:00,Blue Bottle,-5.96,USD,coffee,main_debit,False
2025-02-03T11:53:00,Silpo,-38.44,USD,groceries,main_debit,False
2025-02-03T14:58:00,Bolt Food,-17.98,USD,delivery,main_debit,False
2025-02-03T22:18:00,Uklon,-7.64,USD,transport,main_debit,False
2025-02-05T20:34:00,Uklon,-3.09,USD,transport,main_debit,False
2025-02-05T22:21:00,Uber Eats,-9.89,USD,delivery,main_debit,False
2025-02-06T08:38:00,Starbucks,-5.75,USD,coffee,main_debit,False
2025-02-06T09:27:00,Blue Bottle,-5.98,USD,coffee,main_debit,False
2025-02-06T12:24:00,Uber Eats,-7.57,USD,delivery,main_debit,False
2025-02-07T09:54:00,Sportlife,-3.2,USD,subscriptions,main_debit,True
2025-02-08T10:24:00,ATB,-52.62,USD,groceries,main_debit,False
2025-02-08T17:16:00,Uber,-11.58,USD,transport,main_debit,False
2025-02-08T17:48:00,Uber Eats,-24.96,USD,delivery,main_debit,False
2025-02-08T20:11:00,Glovo,-26.77,USD,delivery,main_debit,False
2025-02-09T08:28:00,Aroma Kava,-5.01,USD,coffee,main_debit,False
2025-02-09T09:37:00,Lviv Croissants,-9.92,USD,coffee,main_debit,False
2025-02-09T21:43:00,Bolt,-9.59,USD,transport,main_debit,False
2025-02-10T15:07:00,H&M,-39.43,USD,shopping,credit_card,False
2025-02-10T19:19:00,Sushi Master,-44.34,USD,restaurants,main_debit,False
2025-02-10T20:28:00,Bolt,-4.87,USD,transport,main_debit,False
2025-02-11T08:42:00,Aroma Kava,-4.72,USD,coffee,main_debit,False
2025-02-11T12:28:00,Glovo,-16.38,USD,delivery,main_debit,False
2025-02-12T08:25:00,YouTube Premium,-7.53,USD,subscriptions,main_debit,True
2025-02-12T13:35:00,Sushi Master,-49.29,USD,restaurants,main_debit,False
2025-02-12T16:57:00,ChatGPT Plus,-13.89,USD,subscriptions,main_debit,True
2025-02-14T07:34:00,Lviv Croissants,-7.17,USD,coffee,main_debit,False
2025-02-14T21:30:00,Costco,-28.59,USD,groceries,main_debit,False
2025-02-15T09:19:00,Blue Bottle,-4.39,USD,coffee,main_debit,False
2025-02-15T10:00:00,Employer Inc,2250.0,USD,salary,main_debit,True
2025-02-15T11:29:00,Bolt Food,-8.37,USD,delivery,main_debit,False
2025-02-15T15:07:00,Silpo,-63.32,USD,groceries,main_debit,False
2025-02-15T18:53:00,ATB,-45.35,USD,groceries,main_debit,False
2025-02-15T19:43:00,Cinema City,-29.18,USD,entertainment,credit_card,False
2025-02-15T21:12:00,Murakami,-33.6,USD,restaurants,main_debit,False
2025-02-16T08:58:00,Starbucks,-5.46,USD,coffee,main_debit,False
2025-02-16T12:32:00,Novus,-26.03,USD,groceries,main_debit,False
2025-02-17T12:52:00,Puzata Hata,-26.68,USD,restaurants,main_debit,False
2025-02-17T16:58:00,Uklon,-4.49,USD,transport,main_debit,False
2025-02-17T21:26:00,Uber Eats,-11.0,USD,delivery,main_debit,False
2025-02-18T10:59:00,Novus,-35.72,USD,groceries,main_debit,False
2025-02-18T13:58:00,Zara,-21.33,USD,shopping,main_debit,False
2025-02-19T07:48:00,Lviv Croissants,-3.92,USD,coffee,main_debit,False
2025-02-19T11:52:00,Electric Bill,-33.02,USD,utilities,main_debit,False
2025-02-19T13:46:00,Uber,-4.09,USD,transport,main_debit,False
2025-02-19T19:46:00,Pharmacy,-18.09,USD,health,main_debit,False
2025-02-20T07:56:00,Blue Bottle,-2.85,USD,coffee,main_debit,False
2025-02-20T19:31:00,Uklon,-7.58,USD,transport,main_debit,False
2025-02-20T20:31:00,Costco,-21.12,USD,groceries,main_debit,False
2025-02-21T07:58:00,Starbucks,-3.51,USD,coffee,main_debit,False
2025-02-21T09:57:00,Bolt,-6.06,USD,transport,main_debit,False
2025-02-21T14:07:00,Zara,-40.23,USD,shopping,credit_card,False
2025-02-21T17:51:00,ATB,-37.2,USD,groceries,main_debit,False
2025-02-21T21:29:00,Amazon,-15.26,USD,shopping,main_debit,False
2025-02-22T21:51:00,Netflix,-22.54,USD,entertainment,main_debit,False
2025-02-22T22:40:00,Bolt Food,-24.72,USD,delivery,main_debit,False
2025-02-23T09:25:00,Aroma Kava,-16.35,USD,coffee,main_debit,False
2025-02-23T12:54:00,Uber Eats,-17.16,USD,delivery,main_debit,False
2025-02-23T15:28:00,Spotify,-18.65,USD,subscriptions,main_debit,True
2025-02-23T16:00:00,Costco,-19.18,USD,groceries,main_debit,False
2025-02-23T21:42:00,Metro Pass,-4.14,USD,transport,main_debit,False
2025-02-23T22:57:00,Glovo,-22.95,USD,delivery,main_debit,False
2025-02-24T08:38:00,Starbucks,-2.49,USD,coffee,main_debit,False
2025-02-24T14:11:00,Uber,-6.89,USD,transport,main_debit,False
2025-02-24T19:34:00,Sportlife,-25.52,USD,health,main_debit,False
2025-02-25T08:13:00,Novus,-17.29,USD,groceries,main_debit,False
2025-02-25T09:52:00,Starbucks,-5.42,USD,coffee,main_debit,False
2025-02-25T18:02:00,Uber Eats,-10.65,USD,delivery,main_debit,False
2025-02-25T20:14:00,Uklon,-4.07,USD,transport,main_debit,False
2025-02-26T09:29:00,Bolt,-1.47,USD,transport,main_debit,False
2025-02-26T12:47:00,Uklon,-4.05,USD,transport,main_debit,False
2025-02-26T13:15:00,Electric Bill,-30.4,USD,utilities,main_debit,False
2025-02-26T14:00:00,Netflix,-21.6,USD,entertainment,credit_card,False
2025-02-26T17:13:00,Kyivstar,-29.21,USD,utilities,main_debit,False
2025-02-27T07:04:00,Aroma Kava,-3.52,USD,coffee,main_debit,False
2025-02-27T09:00:00,Credit Card Payment,-50,USD,credit_payment,main_debit,True
2025-02-27T10:16:00,Metro Pass,-4.37,USD,transport,main_debit,False
2025-02-27T20:35:00,Electric Bill,-13.88,USD,utilities,main_debit,False
2025-02-28T07:21:00,Blue Bottle,-5.88,USD,coffee,main_debit,False
2025-02-28T10:28:00,Sushi Master,-31.45,USD,restaurants,main_debit,False
2025-02-28T13:06:00,ChatGPT Plus,-10.77,USD,subscriptions,main_debit,True
2025-02-28T22:40:00,Uber Eats,-17.08,USD,delivery,main_debit,False
2025-03-01T10:00:00,Employer Inc,2250.0,USD,salary,main_debit,True
2025-03-01T12:36:00,Bolt Food,-21.37,USD,delivery,main_debit,False
2025-03-01T19:48:00,Novus,-41.76,USD,groceries,main_debit,False
2025-03-02T21:23:00,iCloud,-1.95,USD,subscriptions,main_debit,True
2025-03-03T07:53:00,Aroma Kava,-2.63,USD,coffee,main_debit,False
2025-03-03T08:06:00,Starbucks,-4.43,USD,coffee,main_debit,False
2025-03-03T12:28:00,Sushi Master,-28.35,USD,restaurants,main_debit,False
2025-03-03T13:40:00,Bolt Food,-8.85,USD,delivery,main_debit,False
2025-03-03T17:02:00,Bolt Food,-11.73,USD,delivery,main_debit,False
2025-03-03T19:33:00,ATB,-26.79,USD,groceries,main_debit,False
2025-03-04T20:17:00,ATB,-30.03,USD,groceries,main_debit,False
2025-03-04T22:10:00,Uber Eats,-10.5,USD,delivery,main_debit,False
2025-03-05T08:39:00,Starbucks,-2.95,USD,coffee,main_debit,False
2025-03-05T09:18:00,Zara,-28.52,USD,shopping,main_debit,False
2025-03-05T10:11:00,H&M,-48.65,USD,shopping,main_debit,False
2025-03-05T19:40:00,Silpo,-25.97,USD,groceries,main_debit,False
2025-03-06T12:28:00,Electric Bill,-27.55,USD,utilities,main_debit,False
2025-03-06T13:19:00,Novus,-31.28,USD,groceries,main_debit,False
2025-03-08T13:54:00,Novus,-63.23,USD,groceries,main_debit,False
2025-03-08T15:33:00,Uber,-9.15,USD,transport,main_debit,False
2025-03-08T17:18:00,Doctor Visit,-22.11,USD,health,main_debit,False
2025-03-08T20:50:00,Sportlife,-18.68,USD,health,main_debit,False
2025-03-08T23:09:00,Uber Eats,-21.9,USD,delivery,main_debit,False
2025-03-10T18:44:00,Spotify,-5.88,USD,entertainment,main_debit,False
2025-03-10T20:24:00,iCloud,-16.95,USD,subscriptions,main_debit,True
2025-03-11T08:20:00,Starbucks,-4.31,USD,coffee,main_debit,False
2025-03-11T09:09:00,Aroma Kava,-6.39,USD,coffee,main_debit,False
2025-03-11T09:37:00,YouTube Premium,-11.92,USD,entertainment,main_debit,False
2025-03-11T17:30:00,Uber,-5.67,USD,transport,main_debit,False
2025-03-12T07:43:00,Blue Bottle,-2.87,USD,coffee,main_debit,False
2025-03-12T09:37:00,Aroma Kava,-6.94,USD,coffee,main_debit,False
2025-03-12T13:58:00,Uklon,-5.24,USD,transport,main_debit,False
2025-03-12T22:41:00,Glovo,-6.65,USD,delivery,main_debit,False
2025-03-13T08:46:00,Aroma Kava,-2.93,USD,coffee,main_debit,False
2025-03-13T09:33:00,Starbucks,-4.01,USD,coffee,main_debit,False
2025-03-13T14:29:00,Novus,-19.9,USD,groceries,main_debit,False
2025-03-13T14:49:00,Uklon,-12.83,USD,transport,main_debit,False
2025-03-14T08:52:00,Blue Bottle,-3.58,USD,coffee,main_debit,False
2025-03-14T08:56:00,Lviv Croissants,-2.41,USD,coffee,main_debit,False
2025-03-14T09:18:00,Sushi Master,-66.62,USD,restaurants,main_debit,False
2025-03-15T07:03:00,Blue Bottle,-7.57,USD,coffee,main_debit,False
2025-03-15T08:06:00,Aroma Kava,-9.04,USD,coffee,main_debit,False
2025-03-15T09:02:00,Starbucks,-10.44,USD,coffee,main_debit,False
2025-03-15T10:00:00,Employer Inc,2250.0,USD,salary,main_debit,True
2025-03-15T17:41:00,Uber,-12.08,USD,transport,main_debit,False
2025-03-15T20:47:00,Bolt,-13.22,USD,transport,main_debit,False
2025-03-15T21:15:00,Bolt Food,-15.2,USD,delivery,main_debit,False
2025-03-15T23:41:00,Uber Eats,-18.47,USD,delivery,main_debit,False
2025-03-16T08:04:00,Aroma Kava,-4.52,USD,coffee,main_debit,False
2025-03-16T14:17:00,Murakami,-83.7,USD,restaurants,main_debit,False
2025-03-17T11:09:00,Costco,-35.01,USD,groceries,main_debit,False
2025-03-17T14:10:00,Spotify,-17.38,USD,subscriptions,main_debit,True
2025-03-17T20:34:00,Zara,-51.16,USD,shopping,main_debit,False
2025-03-19T17:25:00,Bolt Food,-8.35,USD,delivery,main_debit,False
2025-03-19T17:26:00,Bolt Food,-6.65,USD,delivery,main_debit,False
2025-03-19T18:25:00,Silpo,-18.18,USD,groceries,main_debit,False
2025-03-20T16:40:00,Bolt Food,-51.18,USD,delivery,main_debit,False
2025-03-20T17:32:00,Metro Pass,-7.53,USD,transport,main_debit,False
2025-03-20T19:05:00,Cinema City,-6.18,USD,entertainment,credit_card,False
2025-03-20T22:42:00,Novus,-47.52,USD,groceries,main_debit,False
2025-03-21T12:12:00,Bolt Food,-10.85,USD,delivery,main_debit,False
2025-03-21T20:21:00,Netflix,-14.58,USD,entertainment,main_debit,False
2025-03-21T21:54:00,Bolt,-6.45,USD,transport,main_debit,False
2025-03-22T12:46:00,Spotify,-19.49,USD,entertainment,main_debit,False
2025-03-22T20:39:00,Rozetka,-42.57,USD,shopping,credit_card,False
2025-03-23T18:11:00,Bolt,-4.77,USD,transport,main_debit,False
2025-03-23T19:51:00,Bolt Food,-9.94,USD,delivery,main_debit,False
2025-03-24T21:04:00,Uber Eats,-9.89,USD,delivery,main_debit,False
2025-03-25T15:12:00,H&M,-18.27,USD,shopping,credit_card,False
2025-03-25T16:07:00,Pizza Celentano,-23.78,USD,restaurants,main_debit,False
2025-03-26T07:35:00,Aroma Kava,-8.87,USD,coffee,main_debit,False
2025-03-26T14:54:00,Silpo,-45.29,USD,groceries,main_debit,False
2025-03-26T15:14:00,Doctor Visit,-16.91,USD,health,main_debit,False
2025-03-26T17:08:00,YouTube Premium,-11.26,USD,subscriptions,main_debit,True
2025-03-26T22:53:00,Uklon,-6.4,USD,transport,main_debit,False
2025-03-27T09:00:00,Credit Card Payment,-1109.747431121928,USD,credit_payment,main_debit,True
2025-03-27T14:05:00,Electric Bill,-16.94,USD,utilities,main_debit,False
2025-03-27T15:56:00,Water Bill,-15.83,USD,utilities,main_debit,False
2025-03-28T08:27:00,Aroma Kava,-6.07,USD,coffee,main_debit,False
2025-03-28T09:41:00,Lviv Croissants,-5.09,USD,coffee,main_debit,False
2025-03-30T08:11:00,ATB,-67.03,USD,groceries,main_debit,False
2025-03-30T08:25:00,Water Bill,-63.1,USD,utilities,main_debit,False
2025-03-31T08:28:00,Bolt,-3.82,USD,transport,main_debit,False
2025-04-01T09:22:00,Lviv Croissants,-4.55,USD,coffee,main_debit,False
2025-04-01T10:00:00,Employer Inc,2250.0,USD,salary,main_debit,True
2025-04-01T10:54:00,Costco,-41.03,USD,groceries,main_debit,False
2025-04-02T07:26:00,Blue Bottle,-3.46,USD,coffee,main_debit,False
2025-04-02T08:12:00,Aroma Kava,-2.99,USD,coffee,main_debit,False
2025-04-02T10:04:00,ATB,-32.23,USD,groceries,main_debit,False
2025-04-02T10:45:00,Rozetka,-57.2,USD,shopping,credit_card,False
2025-04-02T14:03:00,Spotify,-8.16,USD,entertainment,main_debit,False
2025-04-03T07:53:00,Blue Bottle,-2.09,USD,coffee,main_debit,False
2025-04-03T09:49:00,Blue Bottle,-2.29,USD,coffee,main_debit,False
2025-04-03T11:49:00,Uber Eats,-5.87,USD,delivery,main_debit,False
2025-04-03T13:41:00,Glovo,-15.08,USD,delivery,main_debit,False
2025-04-03T18:40:00,Costco,-43.26,USD,groceries,main_debit,False
2025-04-03T20:43:00,Pizza Celentano,-18.04,USD,restaurants,main_debit,False
2025-04-04T08:18:00,Metro Pass,-3.02,USD,transport,main_debit,False
2025-04-04T08:27:00,Blue Bottle,-3.12,USD,coffee,main_debit,False
2025-04-05T09:21:00,Lviv Croissants,-6.29,USD,coffee,main_debit,False
2025-04-05T11:02:00,iCloud,-15.55,USD,subscriptions,main_debit,True
2025-04-05T20:32:00,Uber Eats,-12.12,USD,delivery,main_debit,False
2025-04-06T19:39:00,Sportlife,-7.79,USD,subscriptions,main_debit,True
2025-04-06T23:39:00,Uber Eats,-10.96,USD,delivery,main_debit,False
2025-04-07T09:08:00,Puzata Hata,-22.7,USD,restaurants,main_debit,False
2025-04-07T17:18:00,Sushi Master,-26.02,USD,restaurants,main_debit,False
2025-04-07T20:10:00,Metro Pass,-4.83,USD,transport,main_debit,False
2025-04-08T09:01:00,Murakami,-22.04,USD,restaurants,main_debit,False
2025-04-08T16:33:00,Bolt Food,-11.26,USD,delivery,main_debit,False
2025-04-09T07:48:00,Lviv Croissants,-4.85,USD,coffee,main_debit,False
2025-04-09T15:15:00,Uber,-3.26,USD,transport,main_debit,False
2025-04-09T20:16:00,Sushi Master,-27.14,USD,restaurants,main_debit,False
2025-04-09T23:26:00,Uber Eats,-8.85,USD,delivery,main_debit,False
2025-04-10T08:55:00,Aroma Kava,-4.06,USD,coffee,main_debit,False
2025-04-10T15:52:00,Pharmacy,-14.55,USD,health,main_debit,False
2025-04-10T16:00:00,Bolt,-6.08,USD,transport,main_debit,False
2025-04-11T07:31:00,Blue Bottle,-7.75,USD,coffee,main_debit,False
